Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2023-11-15,test11,0.76981(0.01914),0.77219(0.01157),0.69833(0.01639),0.69552(0.01260)
2023-11-15,test11,0.73307(0.01571),0.73803(0.01194),0.77598(0.01108),0.78044(0.00806)
2023-11-15,source_MengExp3_target_BCICIV2A_EEGInfinity001,0.80099(0.01352),0.79086(0.01707),0.65712(0.05459),0.60651(0.06038)
2023-11-15,source_MengExp3_target_MengExp12_EEGInfinity001,0.80298(0.01730),0.79444(0.02086),0.82280(0.01729),0.81689(0.01601)
2023-11-15,source_MengExp3_target_BCICIV2A_OnlyTransferMatrix,0.83138(0.01358),0.81966(0.01199),0.61963(0.05358),0.58216(0.04696)
2023-11-15,source_MengExp3_target_MengExp12_OnlyTransferMatrix,0.83217(0.01858),0.81531(0.01634),0.77045(0.00583),0.75969(0.01164)
2023-11-15,source_PhysioNet_target_MengExp12_EEGInfinity001,0.83089(0.01643),0.81951(0.01558),0.77036(0.00762),0.76813(0.01105)
2023-11-15,source_PhysioNet_target_MengExp12_onlyTransferMatrix,0.83069(0.01815),0.82015(0.01690),0.76367(0.00721),0.75901(0.00480)
2023-11-16,source_PhysioNet_target_MengExp3_OnlyTransferMatrix,0.83089(0.01574),0.81445(0.02033),0.75372(0.02383),0.74439(0.03237)
2023-11-16,source_PhysioNet_target_MengExp3_EEGInfinity001,0.83363(0.01778),0.82081(0.01715),0.72552(0.02153),0.72095(0.01999)
2023-11-16,observation,0.15988(0.31976),0.15929(0.31857),0.16132(0.32264),0.16190(0.32380)
2023-11-17,observation2,0.16306(0.32612),0.16246(0.32493),0.15085(0.30170),0.15114(0.30228)
2023-11-18,observation4,0.16008(0.32017),0.15797(0.31595),0.14081(0.28163),0.14081(0.28163)
2023-11-24,parser_test2,0.15016(0.30032),0.15333(0.30665),0.11599(0.23198),0.11142(0.22284)
2023-11-24,parser_test2,0.16262(0.32524),0.16072(0.32144),0.13108(0.26216),0.12731(0.25462)
2023-11-27,parser_test2,0.79842(0.00912),0.80453(0.02108),0.77472(0.00514),0.77133(0.00985)
2023-11-27,EEG_Infinity002_MengExp3ToBCICIV2A_1,0.80437(0.01086),0.79881(0.01534),0.65631(0.07842),0.63044(0.07413)
2023-11-27,EEG_Infinity002_MengExp3ToMengExp12_1,0.81450(0.00951),0.80199(0.00560),0.82793(0.01486),0.82134(0.02134)
2023-11-27,EEG_Infinity002_PhysioNetMIToMengExp3_1,0.84335(0.01399),0.83176(0.01632),0.72711(0.02344),0.72036(0.02129)
2023-11-27,EEG_Infinity003_MengExp3ToBCICIV2A_1,0.82840(0.01147),0.81490(0.01686),0.68678(0.10366),0.64361(0.06079)
2023-11-27,EEG_Infinity002_PhysioNetMIToMengExp12_1,0.84146(0.01763),0.83259(0.01047),0.77559(0.00727),0.77113(0.00771)
2023-11-27,EEG_Infinity003_MengExp3ToMengExp12_1,0.82324(0.01590),0.81072(0.01324),0.79701(0.00862),0.78936(0.01084)
2023-11-27,EEG_Infinity002_MengExp3ToBCICIV2A_0,0.80894(0.01436),0.78868(0.02019),0.57947(0.03019),0.54277(0.03926)
2023-11-27,EEG_Infinity003_PhysioNetMIToMengExp3_1,0.84462(0.01631),0.83174(0.02104),0.75988(0.01239),0.74777(0.01684)
2023-11-27,EEG_Infinity002_MengExp3ToMengExp12_0,0.80457(0.01268),0.79364(0.01445),0.70502(0.03902),0.70289(0.02314)
2023-11-28,EEG_Infinity003_PhysioNetMIToMengExp12_1,0.84124(0.01569),0.83090(0.01993),0.79478(0.00530),0.79004(0.01010)
