Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-08,Comparison_Baseline_EEGNet_BCICIV2AToMengExp3_1,0.82919(0.05674),0.82799(0.04623),0.66753(0.01451),0.65561(0.02227)
2024-01-08,Comparison_Baseline_ShallowConvNet_BCICIV2AToMengExp3_1,0.78424(0.04893),0.72511(0.04674),0.64866(0.03084),0.63952(0.01216)
2024-01-08,Comparison_Baseline_DeepConvNet_BCICIV2AToMengExp3_1,0.75182(0.07638),0.71129(0.07034),0.63714(0.01430),0.63436(0.02370)
2024-01-08,Comparison_Baseline_InceptionEEG_BCICIV2AToMengExp3_1,0.82256(0.05707),0.80051(0.07193),0.67766(0.01953),0.66812(0.00935)
2024-01-08,Comparison_Baseline_EEGNet_BCICIV2AToMengExp12_1,0.80444(0.06742),0.80984(0.05226),0.73033(0.03365),0.72169(0.03529)
2024-01-08,Comparison_Baseline_ShallowConvNet_BCICIV2AToMengExp12_1,0.78695(0.04312),0.72586(0.05645),0.68331(0.02131),0.66721(0.04282)
2024-01-08,Comparison_Baseline_DeepConvNet_BCICIV2AToMengExp12_1,0.75180(0.07972),0.73401(0.07656),0.73624(0.01298),0.72606(0.01401)
2024-01-08,Comparison_Baseline_InceptionEEG_BCICIV2AToMengExp12_1,0.81523(0.05701),0.80477(0.07120),0.75669(0.01566),0.73372(0.01417)
2024-01-08,Comparison_Baseline_EEGNet_BCICIV2AToPhysioNetMI_1,0.80870(0.06206),0.79517(0.06086),0.68543(0.02681),0.70276(0.02151)
2024-01-08,Comparison_Baseline_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.79082(0.04530),0.75528(0.04965),0.64345(0.01564),0.65147(0.03414)
2024-01-08,Comparison_Baseline_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.74408(0.08273),0.72938(0.07726),0.66604(0.01193),0.65457(0.02486)
2024-01-08,Comparison_Baseline_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.82060(0.06006),0.78620(0.06581),0.69024(0.01962),0.67865(0.01462)
2024-01-08,Comparison_Baseline_EEGNet_MengExp3ToBCICIV2A_1,0.82880(0.01109),0.82205(0.01171),0.59915(0.05128),0.56284(0.04273)
2024-01-08,Comparison_Baseline_ShallowConvNet_MengExp3ToBCICIV2A_1,0.79623(0.01076),0.79206(0.01031),0.61184(0.05237),0.55628(0.04215)
2024-01-08,Comparison_Baseline_DeepConvNet_MengExp3ToBCICIV2A_1,0.79523(0.00887),0.77517(0.01240),0.59800(0.03509),0.56091(0.03700)
2024-01-08,Comparison_Baseline_InceptionEEG_MengExp3ToBCICIV2A_1,0.83118(0.00987),0.81529(0.01614),0.62194(0.05395),0.57518(0.03731)
