Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-15,Comparison_DANN_EEGNet_BCICIV2AToMengExp3_1,0.83105(0.05647),0.81677(0.04087),0.66693(0.02034),0.66872(0.02048)
2024-01-15,Comparison_DANN_ShallowConvNet_BCICIV2AToMengExp3_1,0.77727(0.05655),0.75101(0.07542),0.63039(0.02044),0.61172(0.01443)
2024-01-15,Comparison_DANN_DeepConvNet_BCICIV2AToMengExp3_1,0.70697(0.07353),0.65945(0.05275),0.65005(0.01609),0.64409(0.01611)
2024-01-15,Comparison_DANN_InceptionEEG_BCICIV2AToMengExp3_1,0.80785(0.06655),0.79085(0.06509),0.67249(0.00837),0.66733(0.01082)
2024-01-15,Comparison_DANN_EEGNet_BCICIV2AToMengExp12_1,0.81103(0.06589),0.78859(0.05795),0.74196(0.02420),0.73013(0.01676)
2024-01-15,Comparison_DANN_ShallowConvNet_BCICIV2AToMengExp12_1,0.77805(0.05354),0.73090(0.07487),0.69833(0.03088),0.67187(0.04695)
2024-01-15,Comparison_DANN_DeepConvNet_BCICIV2AToMengExp12_1,0.67879(0.08465),0.65869(0.09511),0.70066(0.05777),0.69300(0.05528)
2024-01-15,Comparison_DANN_InceptionEEG_BCICIV2AToMengExp12_1,0.82371(0.04476),0.80630(0.06755),0.74661(0.01586),0.72868(0.01542)
2024-01-15,Comparison_DANN_EEGNet_BCICIV2AToPhysioNetMI_1,0.82833(0.05624),0.79282(0.06009),0.68514(0.02417),0.68098(0.01291)
2024-01-16,Comparison_DANN_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.74519(0.06442),0.67755(0.04978),0.65479(0.03510),0.64003(0.03836)
2024-01-16,Comparison_DANN_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.66916(0.06337),0.64510(0.03988),0.64221(0.00709),0.64304(0.01505)
2024-01-16,Comparison_DANN_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.81290(0.05320),0.80207(0.06711),0.69657(0.01438),0.68311(0.00933)
2024-01-16,Comparison_DANN_EEGNet_MengExp3ToBCICIV2A_1,0.82125(0.00697),0.80775(0.01355),0.59993(0.04807),0.56748(0.04344)
2024-01-16,Comparison_DANN_ShallowConvNet_MengExp3ToBCICIV2A_1,0.79404(0.00926),0.78491(0.01598),0.60602(0.06093),0.54469(0.05436)
2024-01-16,Comparison_DANN_DeepConvNet_MengExp3ToBCICIV2A_1,0.78908(0.00731),0.78252(0.01163),0.58834(0.03837),0.57442(0.04423)
2024-01-16,Comparison_DANN_InceptionEEG_MengExp3ToBCICIV2A_1,0.82979(0.00986),0.81986(0.01482),0.62892(0.04940),0.59454(0.07016)
2024-01-16,Comparison_DANN_EEGNet_MengExp3ToMengExp12_1,0.82344(0.01209),0.81430(0.01195),0.77685(0.01731),0.77103(0.01641)
2024-01-16,Comparison_DANN_ShallowConvNet_MengExp3ToMengExp12_1,0.80616(0.00666),0.79901(0.01496),0.72877(0.00907),0.71656(0.01331)
2024-01-16,Comparison_DANN_DeepConvNet_MengExp3ToMengExp12_1,0.80000(0.00901),0.79285(0.01142),0.74302(0.01138),0.72703(0.01033)
2024-01-16,Comparison_DANN_InceptionEEG_MengExp3ToMengExp12_1,0.82741(0.01059),0.81331(0.01403),0.77830(0.01378),0.77259(0.01185)
2024-01-16,Comparison_DANN_EEGNet_MengExp3ToPhysioNetMI_1,0.82602(0.01556),0.81907(0.00951),0.74087(0.02203),0.74467(0.01313)
2024-01-16,Comparison_DANN_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.79325(0.00904),0.78292(0.01232),0.74148(0.02362),0.72825(0.01918)
2024-01-16,Comparison_DANN_DeepConvNet_MengExp3ToPhysioNetMI_1,0.80000(0.01423),0.78034(0.01096),0.76194(0.01638),0.74699(0.00736)
2024-01-16,Comparison_DANN_InceptionEEG_MengExp3ToPhysioNetMI_1,0.83257(0.01035),0.81231(0.01618),0.75055(0.01938),0.75309(0.01948)
2024-01-16,Comparison_DANN_EEGNet_MengExp12ToBCICIV2A_1,0.84868(0.01673),0.84170(0.01484),0.63043(0.05927),0.62503(0.05191)
2024-01-16,Comparison_DANN_ShallowConvNet_MengExp12ToBCICIV2A_1,0.80021(0.00793),0.78761(0.00555),0.61646(0.06222),0.55429(0.03370)
2024-01-16,Comparison_DANN_DeepConvNet_MengExp12ToBCICIV2A_1,0.80080(0.00579),0.79314(0.00652),0.62423(0.04465),0.57750(0.02739)
2024-01-16,Comparison_DANN_InceptionEEG_MengExp12ToBCICIV2A_1,0.86855(0.01178),0.86225(0.01067),0.62887(0.06658),0.60647(0.05379)
2024-01-16,Comparison_DANN_EEGNet_MengExp12ToMengExp3_1,0.85779(0.01669),0.85411(0.01339),0.76405(0.01238),0.75333(0.00876)
2024-01-16,Comparison_DANN_ShallowConvNet_MengExp12ToMengExp3_1,0.81815(0.01302),0.80971(0.01306),0.67726(0.01614),0.67051(0.03139)
2024-01-16,Comparison_DANN_DeepConvNet_MengExp12ToMengExp3_1,0.82319(0.00926),0.81776(0.00893),0.71321(0.04071),0.71023(0.05656)
2024-01-16,Comparison_DANN_InceptionEEG_MengExp12ToMengExp3_1,0.87321(0.01346),0.86594(0.01289),0.74796(0.02176),0.72870(0.02137)
2024-01-16,Comparison_DANN_EEGNet_MengExp12ToPhysioNetMI_1,0.85023(0.01130),0.84519(0.01461),0.76194(0.01779),0.75647(0.00966)
2024-01-16,Comparison_DANN_ShallowConvNet_MengExp12ToPhysioNetMI_1,0.80399(0.00721),0.79217(0.00654),0.74295(0.01840),0.72460(0.01472)
2024-01-16,Comparison_DANN_DeepConvNet_MengExp12ToPhysioNetMI_1,0.82018(0.00662),0.81698(0.00706),0.75770(0.02225),0.75459(0.01887)
2024-01-17,Comparison_DANN_InceptionEEG_MengExp12ToPhysioNetMI_1,0.87272(0.01103),0.86632(0.01062),0.76425(0.01766),0.76467(0.01435)
2024-01-17,Comparison_DANN_EEGNet_PhysioNetMIToBCICIV2A_1,0.83006(0.01355),0.81803(0.01568),0.67683(0.07856),0.65751(0.05371)
2024-01-17,Comparison_DANN_ShallowConvNet_PhysioNetMIToBCICIV2A_1,0.80602(0.01572),0.79883(0.01608),0.64826(0.03565),0.61304(0.03553)
2024-01-17,Comparison_DANN_DeepConvNet_PhysioNetMIToBCICIV2A_1,0.80392(0.01285),0.79441(0.01693),0.63006(0.05109),0.59915(0.05741)
2024-01-17,Comparison_DANN_InceptionEEG_PhysioNetMIToBCICIV2A_1,0.82815(0.01756),0.81950(0.01196),0.67254(0.06067),0.63893(0.05960)
2024-01-17,Comparison_DANN_EEGNet_PhysioNetMIToMengExp3_1,0.82987(0.01876),0.82078(0.02093),0.75114(0.02857),0.75849(0.01988)
2024-01-17,Comparison_DANN_ShallowConvNet_PhysioNetMIToMengExp3_1,0.80644(0.00950),0.78556(0.01347),0.76127(0.01824),0.74757(0.01526)
2024-01-17,Comparison_DANN_DeepConvNet_PhysioNetMIToMengExp3_1,0.81866(0.01482),0.80390(0.01592),0.77358(0.02057),0.76663(0.01989)
2024-01-17,Comparison_DANN_InceptionEEG_PhysioNetMIToMengExp3_1,0.83280(0.01321),0.82226(0.01225),0.75789(0.02135),0.75253(0.02512)
2024-01-17,Comparison_DANN_EEGNet_PhysioNetMIToMengExp12_1,0.83237(0.01716),0.81362(0.01693),0.76958(0.01320),0.76376(0.00912)
2024-01-17,Comparison_DANN_ShallowConvNet_PhysioNetMIToMengExp12_1,0.80580(0.01594),0.79567(0.01577),0.76629(0.00745),0.75679(0.01164)
2024-01-17,Comparison_DANN_DeepConvNet_PhysioNetMIToMengExp12_1,0.81489(0.01347),0.80473(0.01847),0.77588(0.00639),0.76755(0.00967)
2024-01-17,Comparison_DANN_InceptionEEG_PhysioNetMIToMengExp12_1,0.83133(0.01516),0.81635(0.01226),0.76822(0.00795),0.76076(0.01125)
