Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-15,Comparison_DANNWass_EEGNet_BCICIV2AToMengExp3_1,0.81448(0.04910),0.79903(0.04875),0.65501(0.02402),0.64806(0.02296)
2024-01-15,Comparison_DANNWass_ShallowConvNet_BCICIV2AToMengExp3_1,0.78076(0.04974),0.75603(0.05565),0.65581(0.01166),0.63198(0.01949)
2024-01-15,Comparison_DANNWass_DeepConvNet_BCICIV2AToMengExp3_1,0.72048(0.07574),0.69340(0.06778),0.63575(0.02961),0.63416(0.02852)
2024-01-15,Comparison_DANNWass_InceptionEEG_BCICIV2AToMengExp3_1,0.82101(0.04964),0.79547(0.06745),0.67706(0.01076),0.65343(0.01163)
2024-01-15,Comparison_DANNWass_EEGNet_BCICIV2AToMengExp12_1,0.82913(0.05579),0.79167(0.06102),0.74797(0.01406),0.73808(0.01799)
2024-01-15,Comparison_DANNWass_ShallowConvNet_BCICIV2AToMengExp12_1,0.78348(0.03969),0.75872(0.06282),0.70376(0.02293),0.69106(0.04529)
2024-01-15,Comparison_DANNWass_DeepConvNet_BCICIV2AToMengExp12_1,0.72017(0.07906),0.67792(0.09363),0.72645(0.01446),0.71947(0.01809)
2024-01-15,Comparison_DANNWass_InceptionEEG_BCICIV2AToMengExp12_1,0.82294(0.03619),0.79081(0.05364),0.75262(0.01638),0.73788(0.01491)
2024-01-16,Comparison_DANNWass_EEGNet_BCICIV2AToPhysioNetMI_1,0.81603(0.04874),0.77960(0.08568),0.68752(0.01794),0.66595(0.03187)
2024-01-16,Comparison_DANNWass_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.75716(0.06521),0.74211(0.05600),0.66555(0.02778),0.65564(0.02603)
2024-01-16,Comparison_DANNWass_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.71549(0.07153),0.69812(0.07973),0.66013(0.00922),0.65423(0.02226)
2024-01-16,Comparison_DANNWass_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.80478(0.03911),0.77035(0.06324),0.68559(0.02440),0.66728(0.01454)
