Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-11,Comparison_DeepCoral_EEGNet_BCICIV2AToMengExp3_1,0.80982(0.01709),0.76999(0.04505),0.67269(0.02003),0.65084(0.02566)
2024-01-11,Comparison_DeepCoral_ShallowConvNet_BCICIV2AToMengExp3_1,0.60190(0.05649),0.57214(0.05243),0.60636(0.04892),0.57517(0.05343)
2024-01-11,Comparison_DeepCoral_DeepConvNet_BCICIV2AToMengExp3_1,0.57556(0.05527),0.56272(0.06396),0.56822(0.05207),0.54201(0.04987)
2024-01-11,Comparison_DeepCoral_InceptionEEG_BCICIV2AToMengExp3_1,0.59299(0.08587),0.57035(0.12716),0.57358(0.04487),0.57478(0.04492)
2024-01-11,Comparison_DeepCoral_EEGNet_BCICIV2AToMengExp12_1,0.80830(0.02645),0.76921(0.05360),0.72460(0.02821),0.71588(0.03747)
2024-01-11,Comparison_DeepCoral_ShallowConvNet_BCICIV2AToMengExp12_1,0.76913(0.07043),0.69878(0.07893),0.74321(0.01618),0.72441(0.01487)
2024-01-11,Comparison_DeepCoral_DeepConvNet_BCICIV2AToMengExp12_1,0.54810(0.02200),0.54228(0.03255),0.52511(0.01782),0.50707(0.01375)
2024-01-11,Comparison_DeepCoral_InceptionEEG_BCICIV2AToMengExp12_1,0.67419(0.13559),0.60272(0.12994),0.62826(0.08713),0.62893(0.07878)
2024-01-11,Comparison_DeepCoral_EEGNet_BCICIV2AToPhysioNetMI_1,0.79902(0.03106),0.77348(0.04449),0.67063(0.01707),0.65523(0.02252)
2024-01-11,Comparison_DeepCoral_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.76414(0.08766),0.68307(0.04908),0.67025(0.01155),0.66874(0.02259)
2024-01-11,Comparison_DeepCoral_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.52108(0.01850),0.49942(0.01026),0.53994(0.00684),0.51737(0.00960)
2024-01-11,Comparison_DeepCoral_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.68006(0.13266),0.66587(0.14969),0.61179(0.07477),0.59614(0.06315)
2024-01-11,Comparison_DeepCoral_EEGNet_MengExp3ToBCICIV2A_1,0.82761(0.00617),0.81053(0.00839),0.57053(0.02762),0.56162(0.02805)
2024-01-11,Comparison_DeepCoral_ShallowConvNet_MengExp3ToBCICIV2A_1,0.80596(0.00786),0.79285(0.01085),0.57053(0.02075),0.53345(0.01702)
2024-01-11,Comparison_DeepCoral_DeepConvNet_MengExp3ToBCICIV2A_1,0.78550(0.01068),0.77418(0.01209),0.57132(0.03630),0.55469(0.04066)
2024-01-11,Comparison_DeepCoral_InceptionEEG_MengExp3ToBCICIV2A_1,0.81907(0.01117),0.81053(0.01147),0.59837(0.04222),0.57597(0.02854)
2024-01-11,Comparison_DeepCoral_EEGNet_MengExp3ToMengExp12_1,0.83535(0.01243),0.82741(0.00885),0.76754(0.02621),0.75737(0.01922)
2024-01-11,Comparison_DeepCoral_ShallowConvNet_MengExp3ToMengExp12_1,0.80675(0.01012),0.79603(0.00489),0.73420(0.01392),0.71850(0.01151)
2024-01-11,Comparison_DeepCoral_DeepConvNet_MengExp3ToMengExp12_1,0.78669(0.01530),0.78272(0.01788),0.71297(0.00980),0.69959(0.01514)
2024-01-11,Comparison_DeepCoral_InceptionEEG_MengExp3ToMengExp12_1,0.82661(0.01271),0.81509(0.00992),0.77326(0.01925),0.76619(0.02482)
2024-01-11,Comparison_DeepCoral_EEGNet_MengExp3ToPhysioNetMI_1,0.83237(0.01000),0.81907(0.00998),0.73475(0.01070),0.71432(0.02283)
2024-01-11,Comparison_DeepCoral_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.80457(0.00844),0.78967(0.01457),0.72499(0.03056),0.71452(0.02259)
2024-01-11,Comparison_DeepCoral_DeepConvNet_MengExp3ToPhysioNetMI_1,0.77835(0.00747),0.76643(0.01548),0.72651(0.02145),0.70927(0.01585)
