Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-09,Comparison_EA_EEGNet_BCICIV2AToMengExp3_1,0.81527(0.04272),0.81400(0.06034),0.57478(0.01378),0.56425(0.00947)
2024-01-09,Comparison_EA_ShallowConvNet_BCICIV2AToMengExp3_1,0.79388(0.06231),0.76803(0.06898),0.59126(0.02052),0.56822(0.01670)
2024-01-09,Comparison_EA_DeepConvNet_BCICIV2AToMengExp3_1,0.76416(0.06635),0.72551(0.06515),0.59345(0.02246),0.58272(0.02701)
2024-01-10,Comparison_EA_InceptionEEG_BCICIV2AToMengExp3_1,0.83146(0.03510),0.80359(0.07062),0.58769(0.01172),0.56842(0.01642)
2024-01-10,Comparison_EA_EEGNet_BCICIV2AToMengExp12_1,0.80445(0.05413),0.79668(0.05169),0.58405(0.03391),0.56660(0.03884)
2024-01-10,Comparison_EA_ShallowConvNet_BCICIV2AToMengExp12_1,0.79273(0.05407),0.76806(0.05260),0.63038(0.02415),0.60954(0.02579)
2024-01-10,Comparison_EA_DeepConvNet_BCICIV2AToMengExp12_1,0.76800(0.07162),0.75256(0.07776),0.64851(0.02660),0.62961(0.01671)
2024-01-10,Comparison_EA_InceptionEEG_BCICIV2AToMengExp12_1,0.83183(0.04196),0.80669(0.06934),0.61807(0.02008),0.60217(0.02012)
2024-01-10,Comparison_EA_EEGNet_BCICIV2AToPhysioNetMI_1,0.81177(0.04752),0.79744(0.06772),0.60405(0.00458),0.60105(0.01744)
2024-01-10,Comparison_EA_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.80162(0.05606),0.76842(0.05555),0.58654(0.00882),0.57897(0.01198)
2024-01-10,Comparison_EA_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.76962(0.05335),0.74059(0.05066),0.59248(0.03193),0.57605(0.04019)
2024-01-10,Comparison_EA_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.81679(0.04186),0.81248(0.05368),0.62431(0.01062),0.61546(0.01451)
2024-01-10,Comparison_EA_EEGNet_MengExp3ToBCICIV2A_1,0.81986(0.00958),0.81033(0.01229),0.60494(0.04776),0.56626(0.05455)
2024-01-10,Comparison_EA_ShallowConvNet_MengExp3ToBCICIV2A_1,0.73049(0.00823),0.70566(0.01718),0.54810(0.01982),0.51641(0.01823)
2024-01-10,Comparison_EA_DeepConvNet_MengExp3ToBCICIV2A_1,0.78630(0.01046),0.77855(0.01278),0.60183(0.04683),0.59721(0.06497)
2024-01-10,Comparison_EA_InceptionEEG_MengExp3ToBCICIV2A_1,0.82761(0.01056),0.80933(0.01003),0.60687(0.03895),0.58947(0.04111)
2024-01-10,Comparison_EA_EEGNet_MengExp3ToMengExp12_1,0.82284(0.00489),0.81390(0.01317),0.76124(0.01621),0.76503(0.01497)
2024-01-10,Comparison_EA_ShallowConvNet_MengExp3ToMengExp12_1,0.73784(0.01366),0.73148(0.02228),0.67042(0.01301),0.65617(0.01335)
2024-01-10,Comparison_EA_DeepConvNet_MengExp3ToMengExp12_1,0.78272(0.02113),0.78054(0.00514),0.72906(0.01379),0.72247(0.01156)
2024-01-10,Comparison_EA_InceptionEEG_MengExp3ToMengExp12_1,0.82244(0.00725),0.81807(0.01231),0.76415(0.01938),0.75446(0.01674)
2024-01-10,Comparison_EA_EEGNet_MengExp3ToPhysioNetMI_1,0.82344(0.00639),0.81847(0.01748),0.75055(0.03201),0.74191(0.01999)
2024-01-10,Comparison_EA_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.73803(0.01167),0.72473(0.01906),0.68627(0.02836),0.66137(0.02425)
2024-01-10,Comparison_EA_DeepConvNet_MengExp3ToPhysioNetMI_1,0.78530(0.01070),0.77756(0.01242),0.75225(0.01511),0.73855(0.01492)
2024-01-10,Comparison_EA_InceptionEEG_MengExp3ToPhysioNetMI_1,0.82761(0.01171),0.80894(0.02096),0.75142(0.01689),0.74681(0.01368)
2024-01-10,Comparison_EA_EEGNet_MengExp12ToBCICIV2A_1,0.86943(0.01427),0.85915(0.01241),0.63814(0.07091),0.64010(0.06488)
2024-01-10,Comparison_EA_ShallowConvNet_MengExp12ToBCICIV2A_1,0.83191(0.01473),0.82629(0.01877),0.73630(0.06032),0.67058(0.07095)
2024-01-10,Comparison_EA_DeepConvNet_MengExp12ToBCICIV2A_1,0.80283(0.00993),0.80991(0.01616),0.63427(0.06960),0.60917(0.06534)
2024-01-10,Comparison_EA_InceptionEEG_MengExp12ToBCICIV2A_1,0.87718(0.01570),0.86836(0.01314),0.63393(0.05316),0.60140(0.09131)
2024-01-10,Comparison_EA_EEGNet_MengExp12ToMengExp3_1,0.87069(0.01396),0.86574(0.01207),0.70904(0.01024),0.70089(0.01927)
2024-01-10,Comparison_EA_ShallowConvNet_MengExp12ToMengExp3_1,0.83967(0.02062),0.83734(0.02783),0.65402(0.01857),0.63833(0.01368)
2024-01-10,Comparison_EA_DeepConvNet_MengExp12ToMengExp3_1,0.82047(0.00860),0.81805(0.01800),0.68461(0.03323),0.67090(0.02304)
2024-01-10,Comparison_EA_InceptionEEG_MengExp12ToMengExp3_1,0.87844(0.01709),0.87689(0.01557),0.72254(0.01076),0.71658(0.00718)
2024-01-10,Comparison_EA_EEGNet_MengExp12ToPhysioNetMI_1,0.87243(0.01466),0.86749(0.01284),0.73284(0.01892),0.72587(0.01920)
2024-01-10,Comparison_EA_ShallowConvNet_MengExp12ToPhysioNetMI_1,0.84161(0.02340),0.84015(0.02344),0.70752(0.01992),0.68731(0.01274)
2024-01-10,Comparison_EA_DeepConvNet_MengExp12ToPhysioNetMI_1,0.82377(0.01213),0.81931(0.01575),0.70074(0.04570),0.69868(0.03653)
2024-01-10,Comparison_EA_InceptionEEG_MengExp12ToPhysioNetMI_1,0.88028(0.01661),0.87805(0.01974),0.73538(0.01556),0.73492(0.02109)
2024-01-10,Comparison_EA_EEGNet_PhysioNetMIToBCICIV2A_1,0.82523(0.01635),0.81698(0.01054),0.65788(0.08153),0.63546(0.07841)
2024-01-10,Comparison_EA_ShallowConvNet_PhysioNetMIToBCICIV2A_1,0.78470(0.01021),0.77163(0.01981),0.66868(0.04758),0.63621(0.05904)
2024-01-10,Comparison_EA_DeepConvNet_PhysioNetMIToBCICIV2A_1,0.81234(0.01393),0.80137(0.01556),0.64201(0.08506),0.61108(0.08234)
2024-01-10,Comparison_EA_InceptionEEG_PhysioNetMIToBCICIV2A_1,0.82605(0.01893),0.81149(0.02068),0.68609(0.07634),0.65943(0.07268)
2024-01-10,Comparison_EA_EEGNet_PhysioNetMIToMengExp3_1,0.83090(0.01688),0.81910(0.01426),0.74459(0.02646),0.73188(0.01513)
2024-01-10,Comparison_EA_ShallowConvNet_PhysioNetMIToMengExp3_1,0.79861(0.01768),0.78514(0.01247),0.71639(0.01810),0.70268(0.01775)
2024-01-10,Comparison_EA_DeepConvNet_PhysioNetMIToMengExp3_1,0.81781(0.01502),0.80011(0.01103),0.75035(0.01662),0.74379(0.01806)
2024-01-11,Comparison_EA_InceptionEEG_PhysioNetMIToMengExp3_1,0.82458(0.01881),0.80833(0.01678),0.74359(0.01931),0.73923(0.03067)
2024-01-11,Comparison_EA_EEGNet_PhysioNetMIToMengExp12_1,0.82775(0.01232),0.81446(0.01627),0.74709(0.01131),0.74244(0.01379)
2024-01-11,Comparison_EA_ShallowConvNet_PhysioNetMIToMengExp12_1,0.79548(0.01956),0.78577(0.01513),0.74951(0.02033),0.73701(0.02138)
2024-01-11,Comparison_EA_DeepConvNet_PhysioNetMIToMengExp12_1,0.81719(0.01282),0.80202(0.00984),0.76347(0.00872),0.74913(0.01134)
2024-01-11,Comparison_EA_InceptionEEG_PhysioNetMIToMengExp12_1,0.82732(0.01591),0.81084(0.01975),0.75514(0.01606),0.75116(0.01709)
