Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-08,Comparison_EEG_Infinity003_EEGNet_BCICIV2AToMengExp3_1,0.81521(0.07086),0.80864(0.08029),0.65084(0.00865),0.63575(0.01324)
2024-01-08,Comparison_EEG_Infinity003_ShallowConvNet_BCICIV2AToMengExp3_1,0.82603(0.03647),0.78698(0.05556),0.62006(0.01087),0.60735(0.01302)
2024-01-08,Comparison_EEG_Infinity003_DeepConvNet_BCICIV2AToMengExp3_1,0.75967(0.07152),0.75412(0.03635),0.64608(0.02151),0.64052(0.02584)
2024-01-08,Comparison_EEG_Infinity003_InceptionEEG_BCICIV2AToMengExp3_1,0.84384(0.03337),0.80668(0.07713),0.67706(0.02007),0.67150(0.02386)
2024-01-08,Comparison_EEG_Infinity003_EEGNet_BCICIV2AToMengExp12_1,0.82143(0.03463),0.79895(0.08224),0.74467(0.01958),0.72218(0.01707)
2024-01-08,Comparison_EEG_Infinity003_ShallowConvNet_BCICIV2AToMengExp12_1,0.82912(0.02991),0.79897(0.05686),0.70638(0.01917),0.68796(0.01524)
2024-01-08,Comparison_EEG_Infinity003_DeepConvNet_BCICIV2AToMengExp12_1,0.76312(0.06648),0.74363(0.07061),0.70775(0.05560),0.68515(0.04638)
2024-01-08,Comparison_EEG_Infinity003_InceptionEEG_BCICIV2AToMengExp12_1,0.82567(0.03924),0.81982(0.06798),0.76086(0.01292),0.74448(0.01518)
2024-01-08,Comparison_EEG_Infinity003_EEGNet_BCICIV2AToPhysioNetMI_1,0.80053(0.06890),0.79936(0.08223),0.69639(0.01102),0.69064(0.03339)
2024-01-08,Comparison_EEG_Infinity003_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.82835(0.03123),0.79819(0.04319),0.67677(0.01919),0.67210(0.01967)
2024-01-08,Comparison_EEG_Infinity003_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.74496(0.06665),0.73633(0.05442),0.64240(0.01690),0.64157(0.01681)
2024-01-08,Comparison_EEG_Infinity003_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.82952(0.04878),0.82795(0.06901),0.71853(0.01002),0.72187(0.02333)
