Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-12,Comparison_EEG_Infinity005Wass_EEGNet_BCICIV2AToMengExp3_1,0.82799(0.04263),0.81868(0.06815),0.64091(0.02109),0.64012(0.02655)
2024-01-12,Comparison_EEG_Infinity005Wass_ShallowConvNet_BCICIV2AToMengExp3_1,0.82526(0.03680),0.79239(0.04606),0.62483(0.01377),0.60099(0.02524)
2024-01-12,Comparison_EEG_Infinity005Wass_DeepConvNet_BCICIV2AToMengExp3_1,0.74612(0.08234),0.72124(0.05674),0.63317(0.03639),0.62423(0.04186)
2024-01-12,Comparison_EEG_Infinity005Wass_InceptionEEG_BCICIV2AToMengExp3_1,0.83300(0.03665),0.80671(0.05346),0.67130(0.02236),0.66316(0.02328)
2024-01-12,Comparison_EEG_Infinity005Wass_EEGNet_BCICIV2AToMengExp12_1,0.83844(0.03922),0.81639(0.06684),0.75020(0.01430),0.72896(0.01267)
2024-01-12,Comparison_EEG_Infinity005Wass_ShallowConvNet_BCICIV2AToMengExp12_1,0.82488(0.03740),0.79820(0.04583),0.69775(0.01585),0.68611(0.02724)
2024-01-12,Comparison_EEG_Infinity005Wass_DeepConvNet_BCICIV2AToMengExp12_1,0.78049(0.05587),0.75759(0.05152),0.72412(0.03205),0.71810(0.03462)
2024-01-12,Comparison_EEG_Infinity005Wass_InceptionEEG_BCICIV2AToMengExp12_1,0.83069(0.03926),0.81868(0.07064),0.76842(0.00545),0.74913(0.00846)
2024-01-12,Comparison_EEG_Infinity005Wass_EEGNet_BCICIV2AToPhysioNetMI_1,0.82181(0.04056),0.81828(0.08070),0.71157(0.00767),0.69973(0.01052)
2024-01-12,Comparison_EEG_Infinity005Wass_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.81716(0.03449),0.79202(0.04862),0.67338(0.01920),0.66789(0.01881)
2024-01-12,Comparison_EEG_Infinity005Wass_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.72134(0.07271),0.71043(0.04794),0.64815(0.04375),0.63706(0.04427)
