Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-01-10,Comparison_RA_EEGNet_BCICIV2AToMengExp3_1,0.55508(0.01402),0.52531(0.01928),0.55253(0.01566),0.52810(0.01445)
2024-01-10,Comparison_RA_ShallowConvNet_BCICIV2AToMengExp3_1,0.56554(0.01540),0.52494(0.01612),0.52214(0.00492),0.50844(0.01100)
2024-01-10,Comparison_RA_DeepConvNet_BCICIV2AToMengExp3_1,0.54349(0.01468),0.51527(0.00845),0.52691(0.01330),0.51639(0.01728)
2024-01-10,Comparison_RA_InceptionEEG_BCICIV2AToMengExp3_1,0.57053(0.01797),0.51915(0.00780),0.58530(0.04648),0.57498(0.05963)
2024-01-10,Comparison_RA_EEGNet_BCICIV2AToMengExp12_1,0.56976(0.01972),0.52456(0.01274),0.64115(0.07794),0.62011(0.06981)
2024-01-10,Comparison_RA_ShallowConvNet_BCICIV2AToMengExp12_1,0.57287(0.02067),0.52957(0.01392),0.52569(0.00585),0.51861(0.01253)
2024-01-10,Comparison_RA_DeepConvNet_BCICIV2AToMengExp12_1,0.54117(0.01308),0.51952(0.01825),0.55186(0.01870),0.54352(0.02786)
2024-01-10,Comparison_RA_InceptionEEG_BCICIV2AToMengExp12_1,0.57015(0.02667),0.53575(0.00743),0.69698(0.05736),0.68728(0.05013)
2024-01-10,Comparison_RA_EEGNet_BCICIV2AToPhysioNetMI_1,0.56010(0.01724),0.51798(0.02535),0.51849(0.02491),0.49803(0.02874)
2024-01-10,Comparison_RA_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.55702(0.01675),0.53074(0.01972),0.52647(0.01049),0.49760(0.01416)
2024-01-10,Comparison_RA_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.54541(0.01123),0.52221(0.02521),0.52394(0.01785),0.49884(0.01619)
2024-01-10,Comparison_RA_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.58329(0.02636),0.54193(0.02575),0.53023(0.02561),0.50857(0.01911)
2024-01-10,Comparison_RA_EEGNet_MengExp3ToBCICIV2A_1,0.80040(0.00975),0.78967(0.01149),0.53732(0.02053),0.50329(0.01103)
2024-01-10,Comparison_RA_ShallowConvNet_MengExp3ToBCICIV2A_1,0.79940(0.01038),0.78213(0.00832),0.53692(0.00688),0.51256(0.01618)
2024-01-10,Comparison_RA_DeepConvNet_MengExp3ToBCICIV2A_1,0.79424(0.01065),0.78590(0.00982),0.52882(0.02479),0.49517(0.01080)
2024-01-11,Comparison_RA_InceptionEEG_MengExp3ToBCICIV2A_1,0.80914(0.01101),0.79623(0.01133),0.54274(0.03294),0.50139(0.02798)
2024-01-11,Comparison_RA_EEGNet_MengExp3ToMengExp12_1,0.80735(0.01057),0.79305(0.00753),0.74593(0.01043),0.73061(0.01518)
2024-01-11,Comparison_RA_ShallowConvNet_MengExp3ToMengExp12_1,0.80318(0.01327),0.78669(0.00695),0.69911(0.01523),0.69116(0.01303)
2024-01-11,Comparison_RA_DeepConvNet_MengExp3ToMengExp12_1,0.79563(0.01230),0.78828(0.01539),0.74040(0.00891),0.72664(0.01935)
2024-01-11,Comparison_RA_InceptionEEG_MengExp3ToMengExp12_1,0.81410(0.01046),0.80119(0.01260),0.75194(0.01474),0.74467(0.00810)
2024-01-11,Comparison_RA_EEGNet_MengExp3ToPhysioNetMI_1,0.80536(0.01038),0.79543(0.00782),0.62197(0.03164),0.61845(0.02618)
2024-01-11,Comparison_RA_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.80536(0.01153),0.79503(0.01211),0.55156(0.02681),0.53998(0.01391)
2024-01-11,Comparison_RA_DeepConvNet_MengExp3ToPhysioNetMI_1,0.80020(0.01369),0.78649(0.01317),0.61967(0.02133),0.61627(0.01876)
2024-01-11,Comparison_RA_InceptionEEG_MengExp3ToPhysioNetMI_1,0.81609(0.00880),0.79345(0.01325),0.60447(0.02074),0.59203(0.01835)
2024-01-11,Comparison_RA_EEGNet_MengExp12ToBCICIV2A_1,0.82745(0.00762),0.81650(0.01001),0.55510(0.01512),0.52145(0.01803)
2024-01-11,Comparison_RA_ShallowConvNet_MengExp12ToBCICIV2A_1,0.80128(0.00669),0.79323(0.00622),0.54387(0.01030),0.51525(0.02548)
2024-01-12,Comparison_RA_DeepConvNet_MengExp12ToBCICIV2A_1,0.79992(0.00404),0.79847(0.00830),0.54428(0.02744),0.54035(0.03219)
2024-01-12,Comparison_RA_InceptionEEG_MengExp12ToBCICIV2A_1,0.83560(0.00640),0.82697(0.00772),0.53459(0.00641),0.53038(0.02572)
2024-01-12,Comparison_RA_EEGNet_MengExp12ToMengExp3_1,0.82891(0.00684),0.82513(0.00826),0.70328(0.01552),0.70010(0.01586)
2024-01-12,Comparison_RA_ShallowConvNet_MengExp12ToMengExp3_1,0.80865(0.00996),0.80186(0.00915),0.66097(0.01650),0.65919(0.03287)
2024-01-12,Comparison_RA_DeepConvNet_MengExp12ToMengExp3_1,0.80952(0.00538),0.80370(0.00556),0.72989(0.01992),0.72949(0.02712)
2024-01-12,Comparison_RA_InceptionEEG_MengExp12ToMengExp3_1,0.85169(0.01044),0.83976(0.01203),0.68699(0.01265),0.67190(0.02181)
