Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-15,Comparison_EEG_Infinity005Wass_wo_FFB_EEGNet_BCICIV2AToMengExp3_1,0.85271(0.04158),0.84303(0.06827),0.65382(0.01500),0.64489(0.01819)
2024-12-15,Comparison_EEG_Infinity005Wass_wo_FFB_ShallowConvNet_BCICIV2AToMengExp3_1,0.84342(0.02420),0.79820(0.03167),0.65343(0.00895),0.63615(0.01495)
2024-12-15,Comparison_EEG_Infinity005Wass_wo_FFB_DeepConvNet_BCICIV2AToMengExp3_1,0.68467(0.08334),0.65158(0.10453),0.62582(0.05395),0.61529(0.03889)
2024-12-15,Comparison_EEG_Infinity005Wass_wo_FFB_InceptionEEG_BCICIV2AToMengExp3_1,0.85931(0.04379),0.83337(0.05716),0.68500(0.01323),0.67646(0.00423)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_EEGNet_BCICIV2AToMengExp12_1,0.82993(0.05706),0.83339(0.05465),0.73265(0.02230),0.71675(0.02589)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_ShallowConvNet_BCICIV2AToMengExp12_1,0.84768(0.02616),0.80362(0.03730),0.71287(0.01002),0.70298(0.02312)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_DeepConvNet_BCICIV2AToMengExp12_1,0.72744(0.06263),0.70199(0.07319),0.70415(0.05010),0.67526(0.05207)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_InceptionEEG_BCICIV2AToMengExp12_1,0.86007(0.03534),0.84383(0.06587),0.76105(0.00959),0.74913(0.01315)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_EEGNet_BCICIV2AToPhysioNetMI_1,0.85275(0.04163),0.83765(0.04807),0.70483(0.01552),0.69537(0.01393)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.83491(0.02842),0.78738(0.03116),0.67970(0.02297),0.67756(0.02181)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.71281(0.07617),0.67804(0.06436),0.64305(0.04950),0.64782(0.04729)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.86278(0.03094),0.83569(0.07091),0.72821(0.01055),0.71747(0.01743)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_EEGNet_MengExp3ToBCICIV2A_1,0.81251(0.01618),0.80119(0.02032),0.66906(0.07500),0.63821(0.07905)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_ShallowConvNet_MengExp3ToBCICIV2A_1,0.82383(0.01010),0.80437(0.01550),0.74559(0.04558),0.67445(0.05542)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_DeepConvNet_MengExp3ToBCICIV2A_1,0.77378(0.01318),0.76544(0.01632),0.68533(0.07587),0.65555(0.08087)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_FFB_InceptionEEG_MengExp3ToBCICIV2A_1,0.83357(0.00731),0.82145(0.00450),0.72284(0.03372),0.67682(0.06648)
