Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-15,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_BCICIV2AToMengExp3_1,0.81640(0.05840),0.80592(0.07418),0.64052(0.01622),0.63873(0.02124)
2024-12-15,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_BCICIV2AToMengExp3_1,0.84036(0.02695),0.80248(0.04290),0.63496(0.00624),0.61748(0.00996)
2024-12-15,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_BCICIV2AToMengExp3_1,0.76238(0.07774),0.75178(0.06127),0.61589(0.01988),0.60536(0.02233)
2024-12-15,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_BCICIV2AToMengExp3_1,0.85389(0.03550),0.83144(0.06105),0.67249(0.01694),0.64747(0.01737)
2024-12-15,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_BCICIV2AToMengExp12_1,0.81215(0.06075),0.81020(0.08063),0.72906(0.01667),0.71966(0.02419)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_BCICIV2AToMengExp12_1,0.83028(0.02483),0.81097(0.03252),0.68098(0.02194),0.66983(0.02858)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_BCICIV2AToMengExp12_1,0.71013(0.07194),0.71889(0.09027),0.70977(0.02273),0.69911(0.02682)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_BCICIV2AToMengExp12_1,0.85852(0.03697),0.82524(0.06680),0.74952(0.00383),0.73614(0.01409)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_BCICIV2AToPhysioNetMI_1,0.81990(0.04886),0.79548(0.06845),0.66099(0.02777),0.65355(0.02592)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.83494(0.02519),0.80324(0.05199),0.65337(0.01295),0.64617(0.02106)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.72177(0.08182),0.71044(0.05000),0.62498(0.03060),0.62230(0.04433)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.85040(0.04850),0.81986(0.06689),0.67680(0.00678),0.68010(0.02870)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_MengExp3ToBCICIV2A_1,0.82741(0.01547),0.82860(0.01273),0.66134(0.06691),0.60994(0.05413)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_MengExp3ToBCICIV2A_1,0.81509(0.00972),0.80357(0.02077),0.71350(0.06365),0.66746(0.08124)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_MengExp3ToBCICIV2A_1,0.78868(0.01128),0.78749(0.01835),0.69650(0.08086),0.67489(0.07613)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_MengExp3ToBCICIV2A_1,0.85303(0.00599),0.84191(0.01471),0.67100(0.05607),0.60530(0.07376)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_MengExp3ToMengExp12_1,0.81807(0.00947),0.80298(0.01567),0.80855(0.00606),0.80719(0.01412)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_MengExp3ToMengExp12_1,0.81529(0.00995),0.80477(0.01500),0.78771(0.01461),0.77656(0.01793)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_MengExp3ToMengExp12_1,0.79245(0.00569),0.78908(0.01980),0.80050(0.01006),0.79323(0.01785)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_MengExp3ToMengExp12_1,0.84330(0.00808),0.83575(0.00982),0.81223(0.00984),0.80894(0.01197)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_MengExp3ToPhysioNetMI_1,0.82880(0.01470),0.81291(0.01732),0.79336(0.00896),0.78892(0.02150)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.82026(0.01030),0.80854(0.02030),0.79464(0.01449),0.78007(0.01296)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_MengExp3ToPhysioNetMI_1,0.80278(0.02242),0.79682(0.01799),0.78754(0.01931),0.77292(0.01983)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_MengExp3ToPhysioNetMI_1,0.85045(0.01112),0.84052(0.01220),0.80180(0.01561),0.79377(0.02861)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_EEGNet_MengExp12ToBCICIV2A_1,0.85052(0.01929),0.84422(0.01020),0.64822(0.05895),0.64050(0.06144)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_ShallowConvNet_MengExp12ToBCICIV2A_1,0.82891(0.01841),0.81698(0.02099),0.71082(0.03958),0.66129(0.07884)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_DeepConvNet_MengExp12ToBCICIV2A_1,0.80254(0.01380),0.80157(0.00988),0.66868(0.06807),0.66097(0.06636)
2024-12-16,Comparison_EEG_Infinity005Wass_wo_SFB_InceptionEEG_MengExp12ToBCICIV2A_1,0.86652(0.01861),0.86235(0.01423),0.64395(0.05875),0.61264(0.06539)
