Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-22,Comparison_DANNPrototype_EEGNet_BCICIV2AToMengExp3_1,0.83028(0.05120),0.81062(0.05756),0.66991(0.00865),0.66038(0.00694)
2024-12-22,Comparison_DANNPrototype_ShallowConvNet_BCICIV2AToMengExp3_1,0.82137(0.03224),0.80667(0.05996),0.68818(0.00910),0.67488(0.00867)
2024-12-22,Comparison_DANNPrototype_DeepConvNet_BCICIV2AToMengExp3_1,0.77696(0.05939),0.75415(0.05107),0.68163(0.02045),0.67686(0.00481)
2024-12-23,Comparison_DANNPrototype_InceptionEEG_BCICIV2AToMengExp3_1,0.81673(0.05070),0.78231(0.08078),0.69930(0.01085),0.69355(0.01601)
2024-12-23,Comparison_DANNPrototype_EEGNet_BCICIV2AToMengExp12_1,0.82643(0.04981),0.82448(0.03278),0.74952(0.01353),0.73449(0.01223)
2024-12-23,Comparison_DANNPrototype_ShallowConvNet_BCICIV2AToMengExp12_1,0.82022(0.03627),0.79663(0.04680),0.75717(0.02088),0.74030(0.01280)
2024-12-23,Comparison_DANNPrototype_DeepConvNet_BCICIV2AToMengExp12_1,0.77078(0.06442),0.75686(0.03280),0.74341(0.01418),0.72276(0.01245)
2024-12-23,Comparison_DANNPrototype_InceptionEEG_BCICIV2AToMengExp12_1,0.81675(0.04367),0.80164(0.07290),0.76580(0.01336),0.75494(0.01258)
2024-12-23,Comparison_DANNPrototype_EEGNet_BCICIV2AToPhysioNetMI_1,0.82373(0.04055),0.81604(0.07025),0.69743(0.02344),0.67952(0.01085)
2024-12-23,Comparison_DANNPrototype_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.81285(0.04923),0.77692(0.04675),0.70331(0.02264),0.68579(0.02061)
2024-12-23,Comparison_DANNPrototype_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.76421(0.06379),0.74600(0.09311),0.69851(0.01413),0.67316(0.02095)
2024-12-23,Comparison_DANNPrototype_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.80783(0.05325),0.78541(0.06552),0.70180(0.02747),0.69191(0.02843)
2024-12-23,Comparison_DANNPrototype_EEGNet_MengExp3ToBCICIV2A_1,0.83039(0.01194),0.81708(0.01128),0.64243(0.07757),0.58452(0.08581)
2024-12-23,Comparison_DANNPrototype_ShallowConvNet_MengExp3ToBCICIV2A_1,0.78709(0.01773),0.77756(0.02584),0.57053(0.03374),0.53732(0.03332)
2024-12-23,Comparison_DANNPrototype_DeepConvNet_MengExp3ToBCICIV2A_1,0.80159(0.01207),0.79265(0.01320),0.62893(0.06436),0.59990(0.05851)
