Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-22,Comparison_DANet_EEGNet_BCICIV2AToMengExp3_1,0.82296(0.04456),0.79322(0.06363),0.66812(0.01220),0.65660(0.01904)
2024-12-22,Comparison_DANet_ShallowConvNet_BCICIV2AToMengExp3_1,0.79004(0.04899),0.76029(0.05858),0.65382(0.00620),0.63357(0.01113)
2024-12-22,Comparison_DANet_DeepConvNet_BCICIV2AToMengExp3_1,0.71780(0.06132),0.66946(0.05024),0.63972(0.01965),0.64429(0.02438)
2024-12-22,Comparison_DANet_InceptionEEG_BCICIV2AToMengExp3_1,0.82565(0.04975),0.79973(0.08359),0.68083(0.00872),0.67448(0.02079)
2024-12-22,Comparison_DANet_EEGNet_BCICIV2AToMengExp12_1,0.81176(0.05343),0.77927(0.05976),0.73469(0.01605),0.72005(0.02675)
2024-12-22,Comparison_DANet_ShallowConvNet_BCICIV2AToMengExp12_1,0.79393(0.03150),0.77151(0.05320),0.70095(0.03136),0.68970(0.04208)
2024-12-22,Comparison_DANet_DeepConvNet_BCICIV2AToMengExp12_1,0.70003(0.07336),0.67949(0.04727),0.71084(0.03153),0.69513(0.04348)
2024-12-22,Comparison_DANet_InceptionEEG_BCICIV2AToMengExp12_1,0.82333(0.03528),0.79896(0.06776),0.74593(0.01576),0.73420(0.01266)
2024-12-22,Comparison_DANet_EEGNet_BCICIV2AToPhysioNetMI_1,0.80210(0.04134),0.78315(0.06704),0.68353(0.01424),0.67636(0.00796)
2024-12-22,Comparison_DANet_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.78539(0.06394),0.73009(0.07375),0.67824(0.02901),0.66113(0.02235)
2024-12-22,Comparison_DANet_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.71314(0.07892),0.67876(0.07034),0.66628(0.01986),0.65378(0.01804)
2024-12-22,Comparison_DANet_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.79703(0.06086),0.77422(0.07327),0.69442(0.02680),0.68687(0.01313)
2024-12-22,Comparison_DANet_EEGNet_MengExp3ToBCICIV2A_1,0.83158(0.01508),0.81748(0.01072),0.60300(0.04619),0.58100(0.05831)
2024-12-22,Comparison_DANet_ShallowConvNet_MengExp3ToBCICIV2A_1,0.78987(0.01041),0.78431(0.01085),0.58135(0.03137),0.57058(0.04663)
2024-12-23,Comparison_DANet_DeepConvNet_MengExp3ToBCICIV2A_1,0.79345(0.00612),0.78232(0.00894),0.61075(0.04688),0.57596(0.05991)
2024-12-23,Comparison_DANet_InceptionEEG_MengExp3ToBCICIV2A_1,0.83376(0.01121),0.81787(0.01225),0.60961(0.05111),0.60110(0.06610)
2024-12-23,Comparison_DANet_EEGNet_MengExp3ToMengExp12_1,0.82999(0.00780),0.82205(0.00926),0.77666(0.01920),0.76415(0.01414)
2024-12-23,Comparison_DANet_ShallowConvNet_MengExp3ToMengExp12_1,0.79742(0.01559),0.78073(0.00966),0.71811(0.01044),0.71549(0.01688)
2024-12-23,Comparison_DANet_DeepConvNet_MengExp3ToMengExp12_1,0.79484(0.01020),0.78649(0.01153),0.75068(0.01178),0.74060(0.01897)
2024-12-23,Comparison_DANet_InceptionEEG_MengExp3ToMengExp12_1,0.83019(0.01060),0.81768(0.01196),0.77666(0.01572),0.76619(0.01616)
2024-12-23,Comparison_DANet_EEGNet_MengExp3ToPhysioNetMI_1,0.82781(0.00698),0.81331(0.01253),0.74719(0.02321),0.74234(0.01831)
2024-12-23,Comparison_DANet_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.79821(0.01333),0.78213(0.00898),0.73034(0.02053),0.71622(0.01980)
2024-12-23,Comparison_DANet_DeepConvNet_MengExp3ToPhysioNetMI_1,0.79364(0.00755),0.78272(0.01035),0.76828(0.01885),0.75709(0.02397)
2024-12-23,Comparison_DANet_InceptionEEG_MengExp3ToPhysioNetMI_1,0.82502(0.00600),0.82423(0.01590),0.74825(0.02031),0.74423(0.01661)
2024-12-23,Comparison_DANet_EEGNet_MengExp12ToBCICIV2A_1,0.85983(0.01105),0.85411(0.00841),0.62538(0.05560),0.59796(0.04022)
2024-12-23,Comparison_DANet_ShallowConvNet_MengExp12ToBCICIV2A_1,0.81001(0.00946),0.80186(0.00660),0.60258(0.03878),0.57591(0.03675)
2024-12-23,Comparison_DANet_DeepConvNet_MengExp12ToBCICIV2A_1,0.81010(0.01173),0.80438(0.00939),0.61881(0.05614),0.59138(0.03540)
2024-12-23,Comparison_DANet_InceptionEEG_MengExp12ToBCICIV2A_1,0.87069(0.01197),0.86351(0.00993),0.63079(0.06058),0.61998(0.07593)
2024-12-23,Comparison_DANet_EEGNet_MengExp12ToMengExp3_1,0.86681(0.01167),0.85857(0.00508),0.72214(0.01372),0.72115(0.02005)
2024-12-23,Comparison_DANet_ShallowConvNet_MengExp12ToMengExp3_1,0.81863(0.01198),0.81184(0.00973),0.66077(0.02093),0.64866(0.02295)
2024-12-23,Comparison_DANet_DeepConvNet_MengExp12ToMengExp3_1,0.82105(0.01541),0.81475(0.01317),0.70785(0.05242),0.70785(0.03382)
2024-12-23,Comparison_DANet_InceptionEEG_MengExp12ToMengExp3_1,0.87893(0.01050),0.87388(0.01128),0.72433(0.01939),0.71321(0.01261)
2024-12-23,Comparison_DANet_EEGNet_MengExp12ToPhysioNetMI_1,0.86458(0.01311),0.85702(0.00973),0.76426(0.01263),0.75354(0.01556)
2024-12-23,Comparison_DANet_ShallowConvNet_MengExp12ToPhysioNetMI_1,0.80933(0.01310),0.80428(0.01306),0.71997(0.01570),0.70311(0.01563)
2024-12-23,Comparison_DANet_DeepConvNet_MengExp12ToPhysioNetMI_1,0.82028(0.00968),0.81698(0.01002),0.74906(0.01911),0.73788(0.02134)
2024-12-23,Comparison_DANet_InceptionEEG_MengExp12ToPhysioNetMI_1,0.87059(0.01118),0.87195(0.01061),0.77124(0.02004),0.74931(0.01342)
2024-12-23,Comparison_DANet_EEGNet_PhysioNetMIToBCICIV2A_1,0.83553(0.02053),0.82269(0.01615),0.67604(0.07443),0.66638(0.06815)
2024-12-23,Comparison_DANet_ShallowConvNet_PhysioNetMIToBCICIV2A_1,0.80856(0.01256),0.79461(0.01956),0.63702(0.04475),0.60341(0.03479)
2024-12-23,Comparison_DANet_DeepConvNet_PhysioNetMIToBCICIV2A_1,0.82101(0.01780),0.80456(0.01417),0.63973(0.06098),0.61768(0.05594)
2024-12-23,Comparison_DANet_InceptionEEG_PhysioNetMIToBCICIV2A_1,0.83321(0.01640),0.81803(0.01777),0.67333(0.05947),0.63467(0.07041)
2024-12-23,Comparison_DANet_EEGNet_PhysioNetMIToMengExp3_1,0.83302(0.01770),0.81551(0.02020),0.74280(0.01445),0.73982(0.01876)
2024-12-23,Comparison_DANet_ShallowConvNet_PhysioNetMIToMengExp3_1,0.81361(0.00915),0.79633(0.00935),0.76624(0.02041),0.75770(0.02244)
2024-12-23,Comparison_DANet_DeepConvNet_PhysioNetMIToMengExp3_1,0.82416(0.01596),0.81340(0.01619),0.76743(0.01639),0.76246(0.01991)
2024-12-23,Comparison_DANet_InceptionEEG_PhysioNetMIToMengExp3_1,0.83470(0.01576),0.81866(0.01943),0.75789(0.02495),0.74975(0.02209)
