Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-28,control_samplesize_Baseline_EEGNet_BCICIV2AToMengExp3_1,0.74568(0.05074),0.72432(0.07280),0.64369(0.02608),0.63476(0.02553)
2024-12-28,control_samplesize_Baseline_ShallowConvNet_BCICIV2AToMengExp3_1,0.72591(0.02823),0.67874(0.07407),0.61986(0.02794),0.59960(0.03711)
2024-12-28,control_samplesize_Baseline_DeepConvNet_BCICIV2AToMengExp3_1,0.57482(0.04489),0.56043(0.04332),0.55710(0.05186),0.55035(0.06585)
2024-12-28,control_samplesize_Baseline_InceptionEEG_BCICIV2AToMengExp3_1,0.71436(0.04967),0.67793(0.05179),0.61192(0.02299),0.60357(0.00855)
2024-12-28,control_samplesize_Baseline_EEGNet_BCICIV2AToMengExp12_1,0.75304(0.05631),0.70967(0.04546),0.70492(0.02920),0.70201(0.01927)
2024-12-28,control_samplesize_Baseline_ShallowConvNet_BCICIV2AToMengExp12_1,0.72858(0.05194),0.67366(0.07780),0.63629(0.02738),0.62834(0.03111)
2024-12-28,control_samplesize_Baseline_DeepConvNet_BCICIV2AToMengExp12_1,0.63431(0.03104),0.61148(0.03263),0.70802(0.02568),0.69785(0.02588)
2024-12-28,control_samplesize_Baseline_InceptionEEG_BCICIV2AToMengExp12_1,0.74837(0.04535),0.69456(0.06699),0.71917(0.01352),0.71181(0.02463)
2024-12-28,control_samplesize_Baseline_EEGNet_BCICIV2AToPhysioNetMI_1,0.76809(0.04700),0.73516(0.06799),0.65439(0.01797),0.63377(0.01271)
2024-12-28,control_samplesize_Baseline_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.73052(0.05203),0.68372(0.07522),0.59076(0.01194),0.57836(0.02219)
2024-12-28,control_samplesize_Baseline_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.59143(0.04428),0.56393(0.03835),0.59299(0.04878),0.57481(0.03122)
2024-12-28,control_samplesize_Baseline_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.71473(0.03211),0.67985(0.06336),0.60696(0.02817),0.58780(0.03056)
2024-12-28,control_samplesize_Baseline_EEGNet_MengExp3ToBCICIV2A_1,0.78411(0.01306),0.77239(0.00604),0.57905(0.03526),0.56630(0.02897)
2024-12-28,control_samplesize_Baseline_ShallowConvNet_MengExp3ToBCICIV2A_1,0.73525(0.02483),0.72334(0.02397),0.54348(0.02240),0.50406(0.01233)
2024-12-28,control_samplesize_Baseline_DeepConvNet_MengExp3ToBCICIV2A_1,0.77974(0.01419),0.77597(0.01530),0.57635(0.04401),0.55161(0.02374)
2024-12-28,control_samplesize_Baseline_InceptionEEG_MengExp3ToBCICIV2A_1,0.78610(0.02003),0.77915(0.01949),0.58522(0.03670),0.56240(0.04660)
2024-12-29,control_samplesize_Baseline_EEGNet_MengExp3ToMengExp12_1,0.78014(0.00998),0.77140(0.01536),0.74205(0.01446),0.73595(0.01654)
2024-12-29,control_samplesize_Baseline_ShallowConvNet_MengExp3ToMengExp12_1,0.74697(0.01389),0.73525(0.01590),0.67206(0.00762),0.66818(0.01007)
2024-12-29,control_samplesize_Baseline_DeepConvNet_MengExp3ToMengExp12_1,0.77438(0.01223),0.76723(0.01360),0.72625(0.02317),0.71928(0.02821)
2024-12-29,control_samplesize_Baseline_InceptionEEG_MengExp3ToMengExp12_1,0.78610(0.01607),0.77954(0.01585),0.74554(0.01306),0.73284(0.00832)
2024-12-29,control_samplesize_Baseline_EEGNet_MengExp3ToPhysioNetMI_1,0.78908(0.00924),0.77637(0.01318),0.74422(0.02774),0.73856(0.02493)
2024-12-29,control_samplesize_Baseline_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.74518(0.01543),0.72949(0.02089),0.64093(0.01975),0.63526(0.02542)
2024-12-29,control_samplesize_Baseline_DeepConvNet_MengExp3ToPhysioNetMI_1,0.78173(0.01324),0.77259(0.01386),0.74972(0.02433),0.74089(0.01536)
2024-12-29,control_samplesize_Baseline_InceptionEEG_MengExp3ToPhysioNetMI_1,0.78590(0.01601),0.77637(0.01686),0.73179(0.02351),0.71873(0.02939)
2024-12-29,control_samplesize_Baseline_EEGNet_MengExp12ToBCICIV2A_1,0.82629(0.00967),0.81766(0.00638),0.63545(0.07930),0.59413(0.04270)
2024-12-29,control_samplesize_Baseline_ShallowConvNet_MengExp12ToBCICIV2A_1,0.78490(0.00509),0.76890(0.01471),0.57361(0.02901),0.54308(0.02864)
2024-12-29,control_samplesize_Baseline_DeepConvNet_MengExp12ToBCICIV2A_1,0.78141(0.01702),0.77171(0.02203),0.61574(0.05645),0.57747(0.03572)
2024-12-29,control_samplesize_Baseline_InceptionEEG_MengExp12ToBCICIV2A_1,0.81960(0.00972),0.81476(0.00862),0.60066(0.06082),0.55626(0.02975)
2024-12-29,control_samplesize_Baseline_EEGNet_MengExp12ToMengExp3_1,0.82707(0.00916),0.81921(0.00846),0.71956(0.01989),0.71738(0.01422)
2024-12-29,control_samplesize_Baseline_ShallowConvNet_MengExp12ToMengExp3_1,0.78403(0.00533),0.76900(0.01020),0.67329(0.02859),0.66753(0.02558)
2024-12-29,control_samplesize_Baseline_DeepConvNet_MengExp12ToMengExp3_1,0.78567(0.01006),0.77510(0.01138),0.75531(0.01542),0.75730(0.02040)
2024-12-29,control_samplesize_Baseline_InceptionEEG_MengExp12ToMengExp3_1,0.82609(0.00776),0.81795(0.01630),0.73247(0.02495),0.72910(0.02081)
