Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-28,Control_samplesize_EEG_Infinity005Wass_EEGNet_BCICIV2AToMengExp3_1,0.74220(0.04754),0.73287(0.05774),0.63555(0.02706),0.62900(0.02809)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_ShallowConvNet_BCICIV2AToMengExp3_1,0.79163(0.02457),0.73208(0.04291),0.57219(0.01594),0.56286(0.03094)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_DeepConvNet_BCICIV2AToMengExp3_1,0.69383(0.04042),0.63161(0.04473),0.61609(0.03516),0.60556(0.03732)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_InceptionEEG_BCICIV2AToMengExp3_1,0.76149(0.02450),0.72975(0.07619),0.64330(0.01457),0.63654(0.02171)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_EEGNet_BCICIV2AToMengExp12_1,0.75880(0.05209),0.71972(0.06722),0.71239(0.01703),0.69223(0.02601)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_ShallowConvNet_BCICIV2AToMengExp12_1,0.78814(0.02733),0.73055(0.04458),0.67972(0.01978),0.66246(0.02271)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_DeepConvNet_BCICIV2AToMengExp12_1,0.70302(0.08765),0.59802(0.03040),0.69484(0.02949),0.67333(0.04590)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_InceptionEEG_BCICIV2AToMengExp12_1,0.77387(0.02578),0.72435(0.06166),0.73749(0.01209),0.72150(0.01268)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_EEGNet_BCICIV2AToPhysioNetMI_1,0.77927(0.04198),0.72667(0.05703),0.66559(0.01167),0.65170(0.01528)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_ShallowConvNet_BCICIV2AToPhysioNetMI_1,0.78197(0.02860),0.72127(0.05876),0.65483(0.01089),0.64344(0.01942)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_DeepConvNet_BCICIV2AToPhysioNetMI_1,0.65988(0.06947),0.58525(0.04195),0.61689(0.04318),0.61027(0.03333)
2024-12-28,Control_samplesize_EEG_Infinity005Wass_InceptionEEG_BCICIV2AToPhysioNetMI_1,0.76887(0.05902),0.73944(0.06355),0.69254(0.01881),0.69150(0.01755)
2024-12-29,Control_samplesize_EEG_Infinity005Wass_EEGNet_MengExp3ToBCICIV2A_1,0.76445(0.01599),0.75452(0.01941),0.65593(0.04127),0.60683(0.06387)
